

央视卫视,#genre#
CCTV1,http://tljdh.vip:9901/tsfile/live/0001_1.m3u8
CCTV2,http://tljdh.vip:9901/tsfile/live/0002_1.m3u8
CCTV3,http://tljdh.vip:9901/tsfile/live/0003_1.m3u8
CCTV4,http://tljdh.vip:9901/tsfile/live/0004_1.m3u8
CCTV4,http://tljdh.vip:9901/tsfile/live/0004_2.m3u8
CCTV4,http://tljdh.vip:9901/tsfile/live/0004_3.m3u8
CCTV5,http://tljdh.vip:9901/tsfile/live/0005_1.m3u8
CCTV5P,http://tljdh.vip:9901/tsfile/live/0016_1.m3u8
CCTV8,http://tljdh.vip:9901/tsfile/live/0008_2.m3u8
CCTV6,http://tljdh.vip:9901/tsfile/live/0006_1.m3u8
CCTV7,http://tljdh.vip:9901/tsfile/live/0007_1.m3u8
CCTV8,http://tljdh.vip:9901/tsfile/live/0008_1.m3u8
CCTV9,http://tljdh.vip:9901/tsfile/live/0009_1.m3u8
CCTV10,http://tljdh.vip:9901/tsfile/live/0010_1.m3u8
CCTV11,http://tljdh.vip:9901/tsfile/live/0011_1.m3u8
CCTV12,http://tljdh.vip:9901/tsfile/live/0012_1.m3u8
CCTV13,http://tljdh.vip:9901/tsfile/live/0013_1.m3u8
CCTV14,http://tljdh.vip:9901/tsfile/live/0014_1.m3u8
CCTV13,http://tljdh.vip:9901/tsfile/live/0013_2.m3u8
CCTV15,http://tljdh.vip:9901/tsfile/live/0015_1.m3u8
CCTV16高清,http://tljdh.vip:9901/tsfile/live/1003_1.m3u8
CCTV17,http://tljdh.vip:9901/tsfile/live/0019_1.m3u8
CCTV-news,http://tljdh.vip:9901/tsfile/live/1005_1.m3u8
CCTV3P,http://tljdh.vip:9901/tsfile/live/1006_1.m3u8
CCTV6P,http://tljdh.vip:9901/tsfile/live/1008_1.m3u8
CCTV8P,http://tljdh.vip:9901/tsfile/live/1009_1.m3u8
CETV4高清,http://tljdh.vip:9901/tsfile/live/1010_1.m3u8

地方卫视,#genre#
北京,http://tljdh.vip:9901/tsfile/live/1022_1.m3u8
北京卫视,http://tljdh.vip:9901/tsfile/live/0122_1.m3u8
天津卫视,http://tljdh.vip:9901/tsfile/live/0135_1.m3u8
浙江卫视,http://tljdh.vip:9901/tsfile/live/0124_1.m3u8
山东卫视,http://tljdh.vip:9901/tsfile/live/0131_1.m3u8
安徽卫视,http://tljdh.vip:9901/tsfile/live/0130_1.m3u8
东南卫视,http://tljdh.vip:9901/tsfile/live/0137_1.m3u8
江苏卫视,http://tljdh.vip:9901/tsfile/live/0127_1.m3u8
四川卫视,http://tljdh.vip:9901/tsfile/live/0123_1.m3u8
重庆卫视,http://tljdh.vip:9901/tsfile/live/0142_1.m3u8
湖北卫视,http://tljdh.vip:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://tljdh.vip:9901/tsfile/live/1041_1.m3u8
湖南卫视,http://tljdh.vip:9901/tsfile/live/0128_1.m3u8
甘肃卫视,http://tljdh.vip:9901/tsfile/live/1023_1.m3u8
江西卫视,http://tljdh.vip:9901/tsfile/live/0138_1.m3u8
辽宁卫视,http://tljdh.vip:9901/tsfile/live/0121_1.m3u8
陕西卫视,http://tljdh.vip:9901/tsfile/live/1029_1.m3u8
山西卫视,http://tljdh.vip:9901/tsfile/live/1027_1.m3u8
吉林高清,http://tljdh.vip:9901/tsfile/live/1033_1.m3u8
内蒙古高清,http://tljdh.vip:9901/tsfile/live/1038_1.m3u8
黑龙江卫视,http://tljdh.vip:9901/tsfile/live/0143_1.m3u8
西藏,http://tljdh.vip:9901/tsfile/live/1026_1.m3u8
新疆,http://tljdh.vip:9901/tsfile/live/1028_1.m3u8
欢笑剧场4K,http://tljdh.vip:9901/tsfile/live/1085_1.m3u8

内蒙古卫视,#genre#
内蒙古卫视,http://tljdh.vip:9901/tsfile/live/0109_1.m3u8
内蒙古蒙语卫视高清,http://tljdh.vip:9901/tsfile/live/1012_1.m3u8
内蒙古农牧高清,http://tljdh.vip:9901/tsfile/live/1013_1.m3u8
内蒙古少儿高清,http://tljdh.vip:9901/tsfile/live/1014_1.m3u8
内蒙古文体娱乐高清,http://tljdh.vip:9901/tsfile/live/1015_1.m3u8
内蒙古新闻高清,http://tljdh.vip:9901/tsfile/live/1016_1.m3u8
内蒙古蒙语文化,http://tljdh.vip:9901/tsfile/live/1066_1.m3u8
内蒙古农牧,http://tljdh.vip:9901/tsfile/live/1067_1.m3u8
内蒙古少儿,http://tljdh.vip:9901/tsfile/live/1068_1.m3u8
内蒙古文体,http://tljdh.vip:9901/tsfile/live/1069_1.m3u8
内蒙古新闻,http://tljdh.vip:9901/tsfile/live/1070_1.m3u8
通辽,http://tljdh.vip:9901/tsfile/live/1017_1.m3u8
通辽蒙语,http://tljdh.vip:9901/tsfile/live/1018_1.m3u8
通辽新闻,http://tljdh.vip:9901/tsfile/live/1019_1.m3u8
动漫秀场高清,http://tljdh.vip:9901/tsfile/live/1024_1.m3u8
佳佳卡通高清,http://tljdh.vip:9901/tsfile/live/1034_1.m3u8

综合其他-01,#genre#
熊猫,http://tljdh.vip:9901/tsfile/live/1107_1.m3u8
早教,http://tljdh.vip:9901/tsfile/live/1108_1.m3u8
动画,http://tljdh.vip:9901/tsfile/live/1109_1.m3u8
好学生,http://tljdh.vip:9901/tsfile/live/1110_1.m3u8
军旅剧场,http://tljdh.vip:9901/tsfile/live/1112_1.m3u8
游戏风云,http://tljdh.vip:9901/tsfile/live/1113_1.m3u8
少儿动画,http://tljdh.vip:9901/tsfile/live/1114_1.m3u8
卡酷动画,http://tljdh.vip:9901/tsfile/live/1115_1.m3u8

综合其他-02,#genre#
谍战剧场,http://tljdh.vip:9901/tsfile/live/1072_1.m3u8
动作影院,http://tljdh.vip:9901/tsfile/live/1073_1.m3u8
古装剧场,http://tljdh.vip:9901/tsfile/live/1076_1.m3u8
光影,http://tljdh.vip:9901/tsfile/live/1077_1.m3u8
家庭影院,http://tljdh.vip:9901/tsfile/live/1078_1.m3u8
经典电影,http://tljdh.vip:9901/tsfile/live/1079_1.m3u8
热播剧场,http://tljdh.vip:9901/tsfile/live/1080_1.m3u8
武侠剧场,http://tljdh.vip:9901/tsfile/live/1081_1.m3u8
喜剧影院,http://tljdh.vip:9901/tsfile/live/1082_1.m3u8
相声小品,http://tljdh.vip:9901/tsfile/live/1083_1.m3u8

